Name,Value,Byte Offset,Type
vp_c1_data[70],"0.00, 0.00, 0.00, 0.00",1120,float4
vp_c1_data[71],"0.00, 0.00, 0.00, 0.00",1136,float4
vp_c1_data[72],"0.00, 0.00, 0.00, 0.00",1152,float4
vp_c1_data[73],"0.00, 0.00, 0.00, 0.00",1168,float4
vp_c1_data[74],"0.00, 0.00, 0.00, 0.00",1184,float4
vp_c1_data[75],"0.00, 0.00, 0.00, 0.00",1200,float4
vp_c1_data[76],"0.00, 0.00, 0.00, 0.00",1216,float4
vp_c1_data[77],"0.00, 0.00, 0.00, 0.00",1232,float4
vp_c1_data[78],"0.00, 0.00, 0.00, 0.00",1248,float4
vp_c1_data[79],"0.00, 0.00, 0.00, 0.00",1264,float4
vp_c1_data[80],"5.69046E-28, 0.00, 0.00, 0.00",1280,float4
vp_c1_data[81],"0.00, 0.00, 0.00, 0.00",1296,float4
vp_c1_data[82],"0.00, 0.00, 0.00, 0.00",1312,float4
vp_c1_data[83],"5.52584E-40, 0.00, 0.00, 0.00",1328,float4
vp_c1_data[84],"0.00, 0.00, 2.52402E-29, 0.00",1344,float4
vp_c1_data[85],"0.00, 0.00, 0.00, 0.00",1360,float4
vp_c1_data[86],"0.00, 1.99951, 6.85676E-40, 0.00",1376,float4
vp_c1_data[87],"0.00, 0.00, 0.00, 0.00",1392,float4
vp_c1_data[88],"-7.38013E+20, 2.93443E-39, -3.90372E+19, 1.93292E+10",1408,float4
vp_c1_data[89],"3.08143E-31, -1.34006E+29, 1.92593E-34, -1.32817E+21",1424,float4
vp_c1_data[90],"-4.25560E+37, 2.93443E-39, 1.23978E-38, 2.36604E+07",1440,float4
vp_c1_data[91],"1.23978E-38, 5.69018E+07, 8.26540E-40, -6.14018E+29",1456,float4
vp_c1_data[92],"-5.31794E+37, 2.91578E-39, 3.54999E-36, 7.97074E+07",1472,float4
vp_c1_data[93],"1.02315E-34, -1.48861E+29, -3.91813E+19, 1.93292E+10",1488,float4
vp_c1_data[94],"-4.25456E+37, 2.92152E-39, 1.50463E-34, -1.48861E+29",1504,float4
vp_c1_data[95],"-1.14353E-19, 0.00006, 1.04771E-31, -1.48861E+29",1520,float4
vp_c1_data[96],"-1.06341E+38, 2.93443E-39, 2.04624E-34, -1.48861E+29",1536,float4
vp_c1_data[97],"6.42869E-40, -6.14018E+29, 7.34705E-40, -2.36118E+21",1552,float4
vp_c1_data[98],"-5.90398E+21, 5.54170E-39, 7.70357E-32, -1.34006E+29",1568,float4
vp_c1_data[99],"2.12155E-39, 3.96471E+17, 5.06602E-39, 4.14331E+17",1584,float4
vp_c1_data[100],"-2.65949E+37, 2.93443E-39, 5.05097E-39, 1.02746E+17",1600,float4
vp_c1_data[101],"2.40741E-35, -1.32817E+21, 8.26540E-40, -6.14018E+29",1616,float4
vp_c1_data[102],"-5.31794E+37, 2.91578E-39, 3.54999E-36, 7.97074E+07",1632,float4
vp_c1_data[103],"1.02315E-34, -1.48861E+29, -3.91813E+19, 1.93292E+10",1648,float4
vp_c1_data[104],"-4.25456E+37, 2.92152E-39, 1.50463E-34, -1.48861E+29",1664,float4
vp_c1_data[105],"-1.14353E-19, 0.00006, 1.04771E-31, -1.48861E+29",1680,float4
vp_c1_data[106],"-1.06341E+38, 2.93443E-39, 2.04624E-34, -1.48861E+29",1696,float4
vp_c1_data[107],"6.42869E-40, -6.14018E+29, 7.34705E-40, -2.36118E+21",1712,float4
vp_c1_data[108],"-7.38013E+20, 2.91578E-39, 9.91824E-38, 7.97075E+07",1728,float4
vp_c1_data[109],"1.67628E-30, -1.34006E+29, 1.46202E-37, 7.97075E+07",1744,float4
vp_c1_data[110],"-5.31785E+37, 2.92008E-39, 8.38142E-31, -1.34006E+29",1760,float4
vp_c1_data[111],"1.98365E-37, 7.97075E+07, 1.10937E-37, 7.97075E+07",1776,float4
vp_c1_data[112],"-3.32371E+36, 2.91721E-39, 9.91939E-38, 6.08340E+07",1792,float4
vp_c1_data[113],"1.57957E-37, 7.97075E+07, 1.46208E-37, 6.08340E+07",1808,float4
vp_c1_data[114],"-6.38133E+37, 2.91721E-39, 2.21875E-37, 7.97075E+07",1824,float4
vp_c1_data[115],"1.98393E-37, 6.08340E+07, 1.10955E-37, 1310789.00",1840,float4
vp_c1_data[116],"-3.32371E+36, 2.91721E-39, 1.22692E-37, 7.97075E+07",1856,float4
vp_c1_data[117],"1.57977E-37, 1310757.00, 1.69712E-37, 7.97075E+07",1872,float4
vp_c1_data[118],"-4.83664E+25, 2.91865E-39, 2.21921E-37, 1310805.00",1888,float4
vp_c1_data[119],"4.19071E-31, -1.34006E+29, 2.45385E-37, 7.97075E+07",1904,float4
vp_c1_data[120],"-1.48577E+28, 2.91578E-39, 1.22709E-37, 1310789.00",1920,float4
vp_c1_data[121],"6.16286E-31, -1.34006E+29, 1.69732E-37, 1310757.00",1936,float4
vp_c1_data[122],"-4.25414E+37, 1.49520E-39, 1.23992E-38, 1.71799E+10",1952,float4
vp_c1_data[123],"2.45442E-37, 1310805.00, 1.24003E-38, 1.71799E+10",1968,float4
vp_c1_data[124],"-9.40578E-37, 1.87510E-36, 3.96730E-37, 7.97074E+07",1984,float4
vp_c1_data[125],"1.24014E-38, 1.71799E+10, 2.43596E-29, 1.01620E+17",2000,float4
vp_c1_data[126],"-5.31898E+37, 2.91004E-39, 2.20371E-39, 2.52287E+17",2016,float4
vp_c1_data[127],"2.43569E-29, 1.01620E+17, 2.43580E-29, 1.01620E+17",2032,float4
vp_c1_data[128],"5.04969E-28, 2.91578E-39, 2.43596E-29, 2.47909E+17",2048,float4
vp_c1_data[129],"7.44120E-39, 1.71799E+10, -6.47914E-40, 5.32015E-06",2064,float4
vp_c1_data[130],"-4.25427E+37, 8.50919E-40, 7.53412E-39, 1.71799E+10",2080,float4
vp_c1_data[131],"1.23985E-38, 2.43265E+17, 7.34829E-39, 1.71799E+10",2096,float4
vp_c1_data[132],"-5.32624E+37, 8.79468E-39, 1.95193E-24, 6.08339E+07",2112,float4
vp_c1_data[133],"1.74494E-24, 6.08339E+07, 2.15934E-24, 6.08339E+07",2128,float4
vp_c1_data[134],"-5.31794E+37, 1.87823E-36, 2.12162E-38, 6.08340E+07",2144,float4
vp_c1_data[135],"1.53581E-37, 6.08340E+07, 2.13122E-37, 6.08340E+07",2160,float4
vp_c1_data[136],"-5.32209E+37, 4.80780E-34, 1.97464E-38, 6.08340E+07",2176,float4
vp_c1_data[137],"9.40626E-38, 6.08340E+07, 1.41082E-37, 6.08340E+07",2192,float4
vp_c1_data[138],"-5.31794E+37, 4.80777E-34, 1.88125E-37, 6.08340E+07",2208,float4
vp_c1_data[139],"1.06561E-37, 6.08340E+07, 1.19056E-37, 6.08340E+07",2224,float4
vp_c1_data[140],"-5.31793E+37, 2.91721E-39, 1.66076E-37, 6.08340E+07",2240,float4
vp_c1_data[141],"2.38113E-37, 6.08340E+07, 1.68059E-38, 5.66396E+07",2256,float4
vp_c1_data[142],"-5.31794E+37, 2.91721E-39, 2.26898E-38, 6.08340E+07",2272,float4
vp_c1_data[143],"2.44547E-29, 3.42340E+17, 2.44547E-29, 3.42340E+17",2288,float4
vp_c1_data[144],"-5.31793E+37, 2.91721E-39, 2.44547E-29, 3.42340E+17",2304,float4
vp_c1_data[145],"2.45533E-29, 3.42340E+17, 2.45533E-29, 3.42340E+17",2320,float4
vp_c1_data[146],"-5.31794E+37, 2.91721E-39, 2.45533E-29, 3.42340E+17",2336,float4
vp_c1_data[147],"2.46519E-29, 3.42340E+17, 2.46519E-29, 3.42340E+17",2352,float4
vp_c1_data[148],"nan, 2.92439E-39, 2.46519E-29, 3.42340E+17",2368,float4
vp_c1_data[149],"1.63394E-36, -8.85444E+20, 2.26888E-38, 2.61279E+17",2384,float4
vp_c1_data[150],"-5.31795E+37, 4.80780E-34, 3.63026E-37, 6.08339E+07",2400,float4
vp_c1_data[151],"2.92497E-37, 6.08360E+07, 3.16007E-37, 6.08360E+07",2416,float4
vp_c1_data[152],"nan, 2.91578E-39, 3.39516E-37, 6.08360E+07",2432,float4
vp_c1_data[153],"6.50002E-33, -8.85444E+20, -6.47899E-40, 0.00005",2448,float4
vp_c1_data[154],"-4.25445E+37, 2.60296E-39, 5.05600E-39, 1.71799E+10",2464,float4
vp_c1_data[155],"2.48064E-38, 2.61279E+17, 6.52608E-39, 1.71799E+10",2480,float4
vp_c1_data[156],"-2.26710E+23, 5.85451E-39, 2.77344E-38, 3.24264E+17",2496,float4
vp_c1_data[157],"6.52752E-39, 1.71799E+10, -1.98477E-17, 8.68117E-21",2512,float4
vp_c1_data[158],"-1.27624E+38, 2.92439E-39, 3.58843E-39, 1.71799E+10",2528,float4
vp_c1_data[159],"3.36240E-38, 5.70104E+15, 2.77451E-38, 2.43405E+17",2544,float4
vp_c1_data[160],"-7.97926E+36, 4.80777E-34, 3.65628E-38, 2.61279E+17",2560,float4
vp_c1_data[161],"3.63032E-37, 6.08339E+07, 2.92502E-37, 6.08339E+07",2576,float4
vp_c1_data[162],"-1.28956E+38, 2.91578E-39, 3.16012E-37, 6.08339E+07",2592,float4
vp_c1_data[163],"3.39522E-37, 6.08339E+07, 2.23161E-38, 3.42340E+17",2608,float4
vp_c1_data[164],"-5.90411E+21, 5.85595E-39, 3.07980E-36, -8.85444E+20",2624,float4
vp_c1_data[165],"5.05600E-39, 1.71799E+10, 2.48064E-38, 2.61279E+17",2640,float4
vp_c1_data[166],"-1.03316E+21, 2.91865E-39, -6.47892E-40, 0.00005",2656,float4
vp_c1_data[167],"6.52572E-39, 1.71799E+10, 2.47956E-38, 3.24264E+17",2672,float4
vp_c1_data[168],"-1.27624E+38, 2.91578E-39, 3.58735E-39, 1.71799E+10",2688,float4
vp_c1_data[169],"2.26891E-38, 5.66571E+15, 1.11669E-37, 2.32671E+07",2704,float4
vp_c1_data[170],"-1.88927E+23, 2.68762E-39, 1.54072E-31, -1.34006E+29",2720,float4
vp_c1_data[171],"1.04768E-31, -1.34006E+29, 2.09536E-31, -1.34006E+29",2736,float4
vp_c1_data[172],"-3.16970E+30, 2.82538E-39, 1.23257E-30, -1.34006E+29",2752,float4
vp_c1_data[173],"3.85179E-32, -1.34006E+29, 4.09249E-34, -1.34006E+29",2768,float4
vp_c1_data[174],"-1.23816E+28, 2.77946E-39, 8.18499E-34, -1.34006E+29",2784,float4
vp_c1_data[175],"6.01842E-34, -1.34006E+29, 6.54799E-33, -1.34006E+29",2800,float4
vp_c1_data[176],"-4.25450E+37, 2.59588E-39, 2.61920E-32, -1.34006E+29",2816,float4
vp_c1_data[177],"3.36305E-38, 5.63122E+15, 5.23839E-32, -1.34006E+29",2832,float4
