Name,Value,Byte Offset,Type
fp_c9_data[87],"1.00, 1.00, 1.00, 4.00",1392,float4
fp_c9_data[88],"1.00, 1.00, 1.00, 5.00",1408,float4
fp_c9_data[89],"1.00, 1.00, 1.00, 6.00",1424,float4
fp_c9_data[90],"1.00, 1.00, 1.00, 7.00",1440,float4
fp_c9_data[91],"1.00, 1.00, 1.00, 8.00",1456,float4
fp_c9_data[92],"0.00, 0.50, 0.70, 0.80",1472,float4
fp_c9_data[93],"1.00, 5.00, 30.00, 60.00",1488,float4
fp_c9_data[94],"1.00, 0.00, 0.00, 0.00",1504,float4
fp_c9_data[95],"0.00, 0.20, 0.00, 0.00",1520,float4
fp_c9_data[96],"0.81, 1.00, 0.81, 0.00",1536,float4
fp_c9_data[97],"1.00, 1.00, 1.00, 0.14",1552,float4
fp_c9_data[98],"0.77, 1.00, 0.77, 0.54",1568,float4
fp_c9_data[99],"0.97, 1.00, 0.97, 0.69",1584,float4
fp_c9_data[100],"0.81, 1.00, 0.81, 1.00",1600,float4
fp_c9_data[101],"0.81, 1.00, 0.81, 6.00",1616,float4
fp_c9_data[102],"0.81, 1.00, 0.81, 7.00",1632,float4
fp_c9_data[103],"0.81, 1.00, 0.81, 8.00",1648,float4
fp_c9_data[104],"1.00, 1.00, 1.00, 0.00",1664,float4
fp_c9_data[105],"1.00, 1.00, 1.00, 0.35",1680,float4
fp_c9_data[106],"1.00, 1.00, 1.00, 0.62",1696,float4
fp_c9_data[107],"0.00, 0.00, 0.00, 1.00",1712,float4
fp_c9_data[108],"0.00, 0.00, 0.00, 5.00",1728,float4
fp_c9_data[109],"0.00, 0.00, 0.00, 6.00",1744,float4
fp_c9_data[110],"0.00, 0.00, 0.00, 7.00",1760,float4
fp_c9_data[111],"0.00, 0.00, 0.00, 8.00",1776,float4
fp_c9_data[112],"0.00, 0.00, 0.00, 0.00",1792,float4
fp_c9_data[113],"0.00, 0.00, 0.00, 0.00",1808,float4
fp_c9_data[114],"0.00, 0.00, 0.00, 1.00",1824,float4
fp_c9_data[115],"0.00, 0.00, 0.00, 0.00",1840,float4
fp_c9_data[116],"50.00, 50.00, 0.00, 0.00",1856,float4
fp_c9_data[117],"0.00, 0.00, 0.00, 0.00",1872,float4
fp_c9_data[118],"0.00, 0.00, 0.00, 0.00",1888,float4
fp_c9_data[119],"0.00, 0.00, 0.00, 0.00",1904,float4
fp_c9_data[120],"0.00, 0.00, 0.00, 0.00",1920,float4
fp_c9_data[121],"0.00, 0.00, 0.00, 0.00",1936,float4
fp_c9_data[122],"0.00, 0.00, 0.00, 0.00",1952,float4
fp_c9_data[123],"0.00, 0.00, 0.00, 0.00",1968,float4
fp_c9_data[124],"0.00, 0.00, 0.00, 0.00",1984,float4
fp_c9_data[125],"0.00, 0.00, 0.00, 0.00",2000,float4
fp_c9_data[126],"0.00, 0.00, 0.00, 0.00",2016,float4
fp_c9_data[127],"0.00, 0.00, 0.00, 0.00",2032,float4
fp_c9_data[128],"0.00, 0.00, 0.00, 0.00",2048,float4
fp_c9_data[129],"0.00, 0.00, 0.00, 0.00",2064,float4
fp_c9_data[130],"0.00, 0.00, 0.00, 0.00",2080,float4
fp_c9_data[131],"0.00, 0.00, 0.00, 0.00",2096,float4
fp_c9_data[132],"0.00, 0.00, 0.00, 0.00",2112,float4
fp_c9_data[133],"0.00, 0.00, 0.00, 0.00",2128,float4
fp_c9_data[134],"0.00, 0.00, 0.00, 0.00",2144,float4
fp_c9_data[135],"0.00, 0.00, 0.00, 0.00",2160,float4
fp_c9_data[136],"0.00, 0.00, 0.00, 0.00",2176,float4
fp_c9_data[137],"0.00, 0.00, 0.00, 0.00",2192,float4
fp_c9_data[138],"0.00, 0.00, 0.00, 0.00",2208,float4
fp_c9_data[139],"0.00, 0.00, 0.00, 0.00",2224,float4
fp_c9_data[140],"0.00, 0.00, 0.00, 0.00",2240,float4
fp_c9_data[141],"0.00, 0.00, 0.00, 0.00",2256,float4
fp_c9_data[142],"0.00, 0.00, 0.00, 0.00",2272,float4
fp_c9_data[143],"0.00, 0.00, 0.00, 0.00",2288,float4
fp_c9_data[144],"0.00, 0.00, 0.00, 0.00",2304,float4
fp_c9_data[145],"0.00, 0.00, 0.00, 0.00",2320,float4
fp_c9_data[146],"0.00, 0.00, 0.00, 0.00",2336,float4
fp_c9_data[147],"0.00, 0.00, 0.00, 0.00",2352,float4
fp_c9_data[148],"0.00, 0.00, 0.00, 0.00",2368,float4
fp_c9_data[149],"0.00, 0.00, 0.00, 0.00",2384,float4
fp_c9_data[150],"0.00, 0.00, 0.00, 0.00",2400,float4
fp_c9_data[151],"0.00, 0.00, 0.00, 0.00",2416,float4
fp_c9_data[152],"0.00, 0.00, 0.00, 0.00",2432,float4
fp_c9_data[153],"0.00, 0.00, 0.00, 0.00",2448,float4
fp_c9_data[154],"0.00, 0.00, 0.00, 0.00",2464,float4
fp_c9_data[155],"0.00, 0.00, 0.00, 0.00",2480,float4
fp_c9_data[156],"0.00, 0.00, 0.00, 0.00",2496,float4
fp_c9_data[157],"0.00, 0.00, 0.00, 0.00",2512,float4
fp_c9_data[158],"0.00, 0.00, 0.00, 0.00",2528,float4
fp_c9_data[159],"0.00, 0.00, 0.00, 0.00",2544,float4
fp_c9_data[160],"0.00, 0.00, 0.00, 0.00",2560,float4
fp_c9_data[161],"0.00, 0.00, 0.00, 0.00",2576,float4
fp_c9_data[162],"0.00, 0.00, 0.00, 0.00",2592,float4
