Name,Value,Byte Offset,Type
vp_c1_data[69],"5.05527E-39, 2.61279E+17, 1.68102E-38, 2.61279E+17",1104,float4
vp_c1_data[70],"-4.25448E+37, 2.59579E-39, 4.24988, -5.64926E+19",1120,float4
vp_c1_data[71],"1.07929E-24, 2.35293E+07, -1.24893E-38, -5.64926E+19",1136,float4
vp_c1_data[72],"-1.06359E+38, 2.91721E-39, 9.46122E-39, 2.61279E+17",1152,float4
vp_c1_data[73],"2.10195E-44, -3.24663E+21, 1.09309E-38, 2.61279E+17",1168,float4
vp_c1_data[74],"-5.31794E+37, 1.17194E-37, 6.52176E-39, 2.61279E+17",1184,float4
vp_c1_data[75],"6.45001E-40, 2.61279E+17, 1.53412E-38, 2.43405E+17",1200,float4
vp_c1_data[76],"-5.58794E+37, 2.91721E-39, 7.99401E-39, 2.43405E+17",1216,float4
vp_c1_data[77],"2.11474E-39, 2.61279E+17, 3.58302E-39, 2.61279E+17",1232,float4
vp_c1_data[78],"-7.44575E+37, 2.89569E-39, 1.38711E-38, 2.43405E+17",1248,float4
vp_c1_data[79],"6.47512E-40, 5.63019E+15, 1.09327E-38, 5.62984E+15",1264,float4
vp_c1_data[80],"nan, 2.93730E-39, 3.58553E-39, 5.63012E+15",1280,float4
vp_c1_data[81],"6.42869E-40, -2.36118E+21, nan, -8.85732E+20",1296,float4
vp_c1_data[82],"-2.65909E+36, 2.89282E-39, 6.48229E-40, 2.36223E+10",1312,float4
vp_c1_data[83],"6.48229E-40, 2.36223E+10, 6.48229E-40, 2.36223E+10",1328,float4
vp_c1_data[84],"0.00, 0.00, 0.00, 0.00",1344,float4
vp_c1_data[85],"0.00, 0.00, 0.00, 0.00",1360,float4
vp_c1_data[86],"0.00, 0.00, 0.00, 0.00",1376,float4
vp_c1_data[87],"0.00, 0.00, 0.00, 0.00",1392,float4
vp_c1_data[88],"0.00, 0.00, 0.00, 0.00",1408,float4
vp_c1_data[89],"0.00, 0.00, 0.00, 0.00",1424,float4
vp_c1_data[90],"0.00, 0.00, 0.00, 0.00",1440,float4
vp_c1_data[91],"0.00, 0.00, 0.00, 0.00",1456,float4
vp_c1_data[92],"0.00, 0.00, 0.00, 0.00",1472,float4
vp_c1_data[93],"0.00, 0.00, 0.00, 0.00",1488,float4
vp_c1_data[94],"0.00, 0.00, 0.00, 0.00",1504,float4
vp_c1_data[95],"0.00, 0.00, 0.00, 0.00",1520,float4
vp_c1_data[96],"5.69046E-28, 0.00, 0.00, 0.00",1536,float4
vp_c1_data[97],"0.00, 0.00, 0.00, 0.00",1552,float4
vp_c1_data[98],"0.00, 0.00, 0.00, 0.00",1568,float4
vp_c1_data[99],"5.52584E-40, 0.00, 0.00, 0.00",1584,float4
vp_c1_data[100],"0.00, 0.00, 5.02972E+33, 0.00",1600,float4
vp_c1_data[101],"0.00, 0.00, 0.00, 0.00",1616,float4
vp_c1_data[102],"0.00, nan, 1.40130E-45, 0.00",1632,float4
vp_c1_data[103],"0.00, 0.00, 0.00, 0.00",1648,float4
vp_c1_data[104],"-7.38013E+20, 2.93443E-39, -3.90372E+19, 1.93292E+10",1664,float4
vp_c1_data[105],"4.81473E-33, -1.34006E+29, 1.92593E-34, -1.32817E+21",1680,float4
vp_c1_data[106],"-4.25560E+37, 2.93443E-39, 1.23978E-38, 2.36604E+07",1696,float4
vp_c1_data[107],"1.23978E-38, 5.69018E+07, 8.26540E-40, -6.14018E+29",1712,float4
vp_c1_data[108],"-5.31794E+37, 2.91578E-39, 3.54999E-36, 7.97074E+07",1728,float4
vp_c1_data[109],"1.02315E-34, -1.48861E+29, -3.91813E+19, 1.93292E+10",1744,float4
vp_c1_data[110],"-4.25456E+37, 2.92152E-39, 1.50463E-34, -1.48861E+29",1760,float4
vp_c1_data[111],"-1.14353E-19, 0.00006, 1.04771E-31, -1.48861E+29",1776,float4
vp_c1_data[112],"-1.06341E+38, 2.93443E-39, 2.04624E-34, -1.48861E+29",1792,float4
vp_c1_data[113],"6.42869E-40, -6.14018E+29, 7.34705E-40, -2.36118E+21",1808,float4
vp_c1_data[114],"-5.90398E+21, 5.54170E-39, 1.20368E-33, -1.34006E+29",1824,float4
vp_c1_data[115],"3.59091E-39, 3.96471E+17, 2.12728E-39, 4.14331E+17",1840,float4
vp_c1_data[116],"-2.65949E+37, 2.93443E-39, 2.11224E-39, 1.02746E+17",1856,float4
vp_c1_data[117],"2.40741E-35, -1.32817E+21, 8.26540E-40, -6.14018E+29",1872,float4
vp_c1_data[118],"-5.31794E+37, 2.91578E-39, 3.54999E-36, 7.97074E+07",1888,float4
vp_c1_data[119],"1.02315E-34, -1.48861E+29, -3.91813E+19, 1.93292E+10",1904,float4
vp_c1_data[120],"-4.25456E+37, 2.92152E-39, 1.50463E-34, -1.48861E+29",1920,float4
